validTime,temperature,wind_speed,precipitation,air_pressure,city
05-03 20:00,0.0,0.0,-9.0,6.2,östersund
05-03 21:00,0.0,0.0,-9.0,4.6,östersund
05-03 22:00,0.0,0.0,-9.0,4.4,östersund
05-03 23:00,0.0,0.0,-9.0,4.4,östersund
05-04 00:00,0.0,0.0,-9.0,5.0,östersund
05-04 01:00,0.0,0.0,-9.0,5.4,östersund
05-04 02:00,0.0,0.0,-9.0,5.3,östersund
05-04 03:00,0.0,0.0,-9.0,5.4,östersund
05-04 04:00,0.0,0.0,-9.0,5.7,östersund
05-04 05:00,0.0,0.0,-9.0,6.2,östersund
05-04 06:00,0.0,0.0,-9.0,6.3,östersund
05-04 07:00,0.0,0.0,-9.0,6.4,östersund
05-04 08:00,0.0,0.0,-9.0,6.5,östersund
05-04 09:00,0.0,0.0,-9.0,7.2,östersund
05-04 10:00,0.0,0.0,-9.0,7.5,östersund
05-04 11:00,0.0,0.0,-9.0,8.1,östersund
05-04 12:00,0.0,0.0,-9.0,8.2,östersund
05-04 18:00,0.0,0.0,-9.0,6.0,östersund
05-05 00:00,0.0,0.0,-9.0,3.2,östersund
05-05 06:00,0.0,0.0,-9.0,2.1,östersund
05-05 12:00,0.0,0.0,-9.0,4.6,östersund
05-05 18:00,8.0,0.0,-9.0,4.8,östersund
05-06 00:00,8.0,0.0,-9.0,6.7,östersund
05-06 06:00,8.0,0.0,-9.0,7.3,östersund
05-06 12:00,7.0,0.0,-9.0,9.5,östersund
05-06 18:00,3.0,0.0,-9.0,7.7,östersund
05-07 00:00,0.0,0.0,-9.0,6.7,östersund
05-07 06:00,1.0,0.0,-9.0,4.5,östersund
05-07 12:00,0.0,0.0,-9.0,3.6,östersund
05-07 18:00,0.0,0.0,-9.0,3.8,östersund
05-08 00:00,7.0,0.0,-9.0,5.2,östersund
05-08 12:00,5.0,0.0,-9.0,7.7,östersund
05-09 00:00,6.0,0.0,-9.0,4.8,östersund
05-09 12:00,3.0,0.0,0.0,6.7,östersund
05-10 00:00,3.0,0.0,0.0,5.8,östersund
05-10 12:00,5.0,0.0,0.0,7.7,östersund
05-11 00:00,2.0,0.0,0.0,5.6,östersund
05-11 12:00,2.0,0.0,0.0,6.9,östersund
